sid,Id,CreatedAt,author_id,OrigTweet,mVader,mRetweets,mLikes,mReplies,mHasURL,mHasMedia,mUFollowers,mUFollowing,mUTweets,mUVader,Rumour,Type of rumour,label,rumour_type,cleaned_tweet,word_count
67683,GkMd9Dl9ROKO,2017-05-23 15:13:39+00:00,Q1MO9Q4,Uttalande av Inter Faith Network i Storbritannien @IFNetUK https://t.co/0vuVTmuV2j #interfaith #manchesterattack,0.421463615211762,1,2,0,1,0,530,211,1108,0.421463615211762,True,,reliable,,Uttalande av Inter Faith Network i Storbritannien interfaith manchesterattack,9
87076,ronZqQ4A17Qp,2017-05-23 01:30:11+00:00,J1rV8B6,"Retweeted Daily Mail U.K. (@DailyMailUK):

A Manchester hotel has taken in 50 children after explosion at Ariana... https://t.co/YYYL62eUsU",0.0,0,0,0,1,0,1226,1994,91017,0.0,Fake,Children sheltered in hotels,misinformation,Children sheltered in hotels,Retweeted Daily Mail U.K. A Manchester hotel has taken in 50 children after explosion at Ariana...,16
53893,V9ElW8lQMqbm,2017-05-24 17:42:19+00:00,GXnzwvw6OWW8,"A detonator, shrapnel and a battery: The Times got access to photos of materials found at the Manchester bombing https://t.co/3q80JXsfvM",0.0,0,0,0,1,0,491,587,53272,-0.646961398464594,True,,reliable,,"A detonator, shrapnel and a battery The Times got access to photos of materials found at the Manchester bombing",19
7127,0W1XJR8RYPldE,2021-10-27 16:54:38+00:00,wAxL33,"Unreal.  Another organization whose responsibility is to protect us needing a complete overhaul.  Just the RCMP in Canada and CIA/FBI in the U.S.  Do you see a pattern here?

https://t.co/0y4e9EDlhR",0.381819167922678,0,0,0,1,0,284,231,29018,-0.370421535050631,True,,unrelated,,Unreal. Another organization whose responsibility is to protect us needing a complete overhaul. Just the RCMP in Canada and CIA FBI in the U.S. Do you see a pattern here?,30
14302,YMRVeGzYJkWx7,2020-09-30 07:10:38+00:00,VpqD698,"RT #FightExtremism ""RT @NotThatBigIan: Just over a year ago, I chaired a fringe meeting at @Conservatives 2019 conference for @FightExtremism. The Online Harms Bill we discussed then that ought to tackle this blight is lost in the weeds. But the wron… https://t.co/C7OoUeVcRK""",-0.700349291735761,0,0,0,1,0,1517,2455,221382,-0.688639014419741,True,,unrelated,,"FightExtremism ""RT Just over a year ago, I chaired a fringe meeting at 2019 conference for . The Online Harms Bill we discussed then that ought to tackle this blight is lost in the weeds. But the wron",38
65788,eD80MML6Z6Bo,2017-05-23 16:35:21+00:00,OQMjOL,https://t.co/6fucBWI5tb OMG Cunty Hopkins acknowledges she is THE SICKNESS in society &amp; terminally REVOLTING #wishfulthinking,0.0,0,0,0,1,0,244,786,15242,0.0,True,,unrelated,,OMG Cunty Hopkins acknowledges she is THE SICKNESS in society amp terminally REVOLTING wishfulthinking,14
75511,WPJKYjzNkVa0,2017-05-23 10:30:05+00:00,pK0d1Y,"Sadly, Drumpf's response to the tragedy is the simple and ineffectual resort to name-calling. https://t.co/1Nd8JR2jbs",-0.855541579265878,0,0,0,1,0,59,743,8886,-0.855541579265878,True,,unrelated,,"Sadly, Drumpf's response to the tragedy is the simple and ineffectual resort to name-calling.",14
50905,WPnQY7lkX13v,2017-05-25 09:57:08+00:00,j8DnaAD,"UKIP's Suzanne Evans says Theresa May ""must bear some responsibility"" for the Manchester Arena attack over police cuts &amp; spread of extremism",-0.636949942926426,5,9,5,0,0,62647,3875,14464,-0.636949942926426,True,,reliable,,"UKIP's Suzanne Evans says Theresa May ""must bear some responsibility"" for the Manchester Arena attack over police cuts amp spread of extremism",22
60927,a3ZjLWMB1pBr,2017-05-23 22:07:26+00:00,NomQ1ej,05-23 #ArianaGrande Ready To Star In Superhero Movie [Report] #ArianaGrande https://t.co/2SZGuhwp7p,0.361157559257308,0,0,0,1,0,29020,24141,1528473,0.173715999498888,True,,reliable,,05-23 ArianaGrande Ready To Star In Superhero Movie Report ArianaGrande,10
44866,1G3m78BlzmdM,2017-05-31 09:06:43+00:00,0dJZGAko1j9d,"@Conservatives .@theresa_may you were HomeSec for 6yrs.
https://t.co/AuYOm09ybr",0.0,0,0,0,1,0,369,233,8104,0.368780663310292,True,,unrelated,,. you were HomeSec for 6yrs.,6
58146,kz93PKQoOrZl,2017-05-24 07:17:37+00:00,Dw9Zojv,"’Keep smiling, mummy loves you’ https://t.co/fkteWw6gX6",0.801995608018326,0,0,3,1,0,4434,4818,193848,-0.252060724098071,True,,unrelated,,"Keep smiling, mummy loves you",5
54056,0GnJ0M6d6Q9d,2017-05-24 17:32:22+00:00,x1wJZBGVVRwb,"Not a fan of Piers Morgan, but he deserves props for calling out the conspiracy of silence in Muslim community ...
https://t.co/1uXydmBEcL",-0.273212885294474,2,3,1,1,0,345974,4499,20626,-0.273212885294474,True,,unrelated,,"Not a fan of Piers Morgan, but he deserves props for calling out the conspiracy of silence in Muslim community ...",21
