text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
I refuse to call the #Ferguson police chief incompetent when it is so clear the release of that video was calculated and brazen. #MikeBrown,1,ProfessorCrunk,ferguson,rumour,I refuse to call the Ferguson police chief incompetent when it is so clear the release of that video was calculated and brazen. MikeBrown,24
Several attacks against mosques in France after Paris shooting: reports,0,ndtv,charliehebdo,not_rumour,Several attacks against mosques in France after Paris shooting reports,10
Update: Reuters reports a witness who says police chased a suspect into Candian parliament in #Ottawa &amp; then heard 30 shots fired inside,1,SkyNewsBreak,ottawashooting,rumour,Update Reuters reports a witness who says police chased a suspect into Candian parliament in Ottawa amp then heard 30 shots fired inside,23
"""Is that a tank?!?"" As older black woman asks as cops move in #Ferguson",0,elonjames,ferguson,not_rumour,"""Is that a tank?!?"" As older black woman asks as cops move in Ferguson",14
WATCH: Shots are fired inside Ottawa's Parliament building. Canadian police say shooting suspect is still at large. https://t.co/mzxG4e8m84,1,SkyNews,ottawashooting,rumour,WATCH Shots are fired inside Ottawa's Parliament building. Canadian police say shooting suspect is still at large.,17
"Trayvon Martin. Jordan Davis. Renisha McBride. Mike Brown. Our streets are stained with the blood of unarmed, black teens. #Ferguson",0,capetownbrown,ferguson,not_rumour,"Trayvon Martin. Jordan Davis. Renisha McBride. Mike Brown. Our streets are stained with the blood of unarmed, black teens. Ferguson",20
#ПутинУмер &amp; #putindead highlight personalized nature of Putin's system. Via @PowerVertical http://t.co/maxroHxUWs http://t.co/wTmyhfFL8A,0,RFERL,putinmissing,not_rumour,amp putindead highlight personalized nature of Putin's system. Via,9
CBC News Ottawa has independently confirmed that the gunman who was shot and killed is Michael Zehaf-Bibeau. #cbcOTT #OTTnews,1,CBCOttawa,ottawashooting,rumour,CBC News Ottawa has independently confirmed that the gunman who was shot and killed is Michael Zehaf-Bibeau. cbcOTT OTTnews,19
Beautiful statement from Palestinians expressing support &amp; solidarity w/ #MikeBrown &amp; ppl of #Ferguson http://t.co/cnL7n2tc28 via @RanaGaza,0,RaniaKhalek,ferguson,not_rumour,Beautiful statement from Palestinians expressing support amp solidarity w MikeBrown amp ppl of Ferguson via,15
BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV,1,AlArabiya_Eng,germanwings-crash,rumour,BREAKING 148 passengers were on board GermanWings Airbus A320 which has crashed in the southern French Alps,17
"#BREAKING: Prince reportedly to perform surprise show at Massey Hall tonight
http://t.co/G003mTSk9S #Toronto",1,CityNews,prince-toronto,rumour,BREAKING Prince reportedly to perform surprise show at Massey Hall tonight Toronto,12
call weeping neighbors a mob --&gt; paint a picture of a violent community #MikeBrown came from --&gt; justify his execution #Ferguson,0,dopegirlfresh,ferguson,not_rumour,call weeping neighbors a mob -- gt paint a picture of a violent community MikeBrown came from -- gt justify his execution Ferguson,23
"Americans, rest assured that if we could've prevented today's Paris terrorist attack by waterboarding, we wouldn't. Too mean.",0,weknowwhatsbest,charliehebdo,not_rumour,"Americans, rest assured that if we could've prevented today's Paris terrorist attack by waterboarding, we wouldn't. Too mean.",18
Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway #AFP http://t.co/CBBLljNX0K,1,AFPphoto,charliehebdo,rumour,Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway AFP,17
"Hostage-taker at Paris store demands release of #KouachiBrothers, police union spokesman says. http://t.co/7Bxdhozq4H http://t.co/0SmxqdDLrX",1,cnnbrk,charliehebdo,rumour,"Hostage-taker at Paris store demands release of KouachiBrothers, police union spokesman says.",12
"MT @grasswire: #CharlieHebdo editor, assassinated today, in 2012:""I prefer to die standing than to live on my knees."" http://t.co/nUceGIaD03",0,JackieBodnar,charliehebdo,not_rumour,"MT CharlieHebdo editor, assassinated today, in 2012 ""I prefer to die standing than to live on my knees.""",18
Thougts and prayers go out to everyone involved in the Paris terrorist situation - Hope everyone comes out save! 🙏,0,OMGitsAliA,charliehebdo,not_rumour,Thougts and prayers go out to everyone involved in the Paris terrorist situation - Hope everyone comes out save!,19
Cops are forcing us to move even as legally we have the right to stand on the  sidewalk... #Ferguson,0,elonjames,ferguson,not_rumour,Cops are forcing us to move even as legally we have the right to stand on the sidewalk... Ferguson,19
"VIDEO: Seconds after shooting Nathan Cirillo, #OttawaShooting suspect gets into car. http://t.co/tbPrMJhNu0",1,CBCTheNational,ottawashooting,rumour,"VIDEO Seconds after shooting Nathan Cirillo, OttawaShooting suspect gets into car.",11
Security at Massey Hall say there will be no Prince concert tonight #cbcto,1,trevorjdunn,prince-toronto,rumour,Security at Massey Hall say there will be no Prince concert tonight cbcto,13
"Classes started at 8am, but by 7am #MichaelBrown would be there waiting, eager http://t.co/SVaqe4vR2V #Ferguson http://t.co/P3ubd08DB8",0,WesleyLowery,ferguson,not_rumour,"Classes started at 8am, but by 7am MichaelBrown would be there waiting, eager Ferguson",14
Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle. http://t.co/6GmumrBndC CC @EliotHiggins,0,sheeraf,charliehebdo,not_rumour,Single finger raised by CharlieHebdo gunman looks like what ISIS fighters often do in battle. CC,16
"At our last position report of 10,275ft we had the ground level at 3,300ft #4U9525",0,planefinder,germanwings-crash,not_rumour,"At our last position report of 10,275ft we had the ground level at 3,300ft 4U9525",15
"The Germanwings #AirbusA320 was headed from Barcelona, Spain, to Dusseldorf, Germany, French Prime Minister said. http://t.co/iWeLBpmiHS",1,cnnbrk,germanwings-crash,rumour,"The Germanwings AirbusA320 was headed from Barcelona, Spain, to Dusseldorf, Germany, French Prime Minister said.",15
#Ferguson Police Department Release First Official Statement On Shooting Of Mike Brown http://t.co/FIbarj06cz #JusticeForMikeBrown,0,GlobalGrindNews,ferguson,not_rumour,Ferguson Police Department Release First Official Statement On Shooting Of Mike Brown JusticeForMikeBrown,13
