text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"thinking of the people in Martin Place in Sydney right now, and for the police, etc having to deal with the situation. so terrifying",0,troyesivan,sydneysiege,not_rumour,"thinking of the people in Martin Place in Sydney right now, and for the police, etc having to deal with the situation. so terrifying",24
Sydney in lockdown as at least one gunman holds several people hostage in a café http://t.co/qgq2xmaVUt #sydneysiege http://t.co/qTYpQM9snG,1,BBCBreakfast,sydneysiege,rumour,Sydney in lockdown as at least one gunman holds several people hostage in a caf sydneysiege,16
"There are reportedly 13 hostages in the siege at Martin Place, Sydney CBD - watch us live for continuous updates",1,ABCNews24,sydneysiege,rumour,"There are reportedly 13 hostages in the siege at Martin Place, Sydney CBD - watch us live for continuous updates",20
"Muslim community reacts with 'horror, aversion' to #SydneySiege, @Mo_Taha1 reports http://t.co/jatWWRoEHO http://t.co/eNQ8BC7tgl",0,abcnews,sydneysiege,not_rumour,"Muslim community reacts with 'horror, aversion' to SydneySiege, reports",9
Updated: An armed person took hostages in a Sydney cafe and displayed a black flag with Arabic script http://t.co/P42f29rnK1,1,nytimes,sydneysiege,rumour,Updated An armed person took hostages in a Sydney cafe and displayed a black flag with Arabic script,18
"Much love to everyone tweeting #illridewithyou.

Solidarity. 

#TeamHumanity 

Australia at its best. #sydneysiege http://t.co/JeSipaebUX",0,Kon__K,sydneysiege,not_rumour,Much love to everyone tweeting illridewithyou. Solidarity. TeamHumanity Australia at its best. sydneysiege,13
"BREAKING: A Sydney cafe at Martin Place is being held up - hostages inside have their hands against the windows, ISIS flag visible.. #7News",1,KristyMayr7,sydneysiege,rumour,"BREAKING A Sydney cafe at Martin Place is being held up - hostages inside have their hands against the windows, ISIS flag visible.. 7News",24
"The Lindt store refuses to be halal certified perhaps thats why they were targeted. #jihad #Sydney #hostagecrisis
http://t.co/gAEf9aHB8v",1,PamelaGeller,sydneysiege,rumour,The Lindt store refuses to be halal certified perhaps thats why they were targeted. jihad Sydney hostagecrisis,17
OMG really @USATODAY?? and we wonder why the world thinks americans are morons. #sydneysiege http://t.co/G66w5vittl,0,ktsummer,sydneysiege,not_rumour,OMG really ?? and we wonder why the world thinks americans are morons. sydneysiege,14
"Yes, people are taking selfies as dozens are held hostage at a Sydney cafe nearby http://t.co/bWLn2Yn8IE",0,PzFeed,sydneysiege,not_rumour,"Yes, people are taking selfies as dozens are held hostage at a Sydney cafe nearby",15
DEVELOPING: Major police operation underway in Sydney's central business district: http://t.co/iqgdmiCDNh http://t.co/HCzDIJCPAo,0,ABC,sydneysiege,not_rumour,DEVELOPING Major police operation underway in Sydney's central business district,10
MT @mashable #Uber intros surge pricing during #sydneysiege - http://t.co/ypP0wMtOON http://t.co/kbPubroomX,1,W7VOA,sydneysiege,rumour,MT Uber intros surge pricing during sydneysiege -,8
Sydney Opera House has been completely evacuated and Sydney airspace closed. #siege,1,Sandra_Sully,sydneysiege,rumour,Sydney Opera House has been completely evacuated and Sydney airspace closed. siege,12
#sydneysiege is a misnomer. It's a hostage situation. Inside a cafe. You want 2 know what being under siege looks like? look @ #Gaza.,1,NotOccupying,sydneysiege,rumour,sydneysiege is a misnomer. It's a hostage situation. Inside a cafe. You want 2 know what being under siege looks like? look Gaza.,23
"Breaking News: Police Storm Sydney Cafe Where Hostages Are Held
http://t.co/P3f2OV2Gmz",0,nytimes,sydneysiege,not_rumour,Breaking News Police Storm Sydney Cafe Where Hostages Are Held,10
"""We don't know motivation of #sydneysiege perpetrators yet"" - Australian leader Tony Abbott http://t.co/z9JrtJ2IN3",0,BBCBreaking,sydneysiege,not_rumour,"""We don't know motivation of sydneysiege perpetrators yet"" - Australian leader Tony Abbott",13
Video footage shows police storming Sydney cafe http://t.co/3U4aWpVmdM #SydneySiege,0,CNN,sydneysiege,not_rumour,Video footage shows police storming Sydney cafe SydneySiege,8
LIVE: Police have entered the Sydney cafe where an armed assailant was holding hostages. WATCH http://t.co/bzzpKM9C6o http://t.co/XRNpIHqFYt,1,ReutersLive,sydneysiege,rumour,LIVE Police have entered the Sydney cafe where an armed assailant was holding hostages. WATCH,15
"BREAKING NEWS: Flag in Sydney cafe window confirmed to be that of Jabah Al-Nusra, says Islamic terror expert on 7News http://t.co/1UMa3DwuNJ",1,PzFeed,sydneysiege,rumour,"BREAKING NEWS Flag in Sydney cafe window confirmed to be that of Jabah Al-Nusra, says Islamic terror expert on 7News",20
My fellow Australians. Let's stand together against the #sydneysiege as well as the hatred against innocent Muslim #Australians.,0,alfroz,sydneysiege,not_rumour,My fellow Australians. Let's stand together against the sydneysiege as well as the hatred against innocent Muslim Australians.,18
#Sydney: Hostages told Australia's #channeltennews the gunman claims there are 2 bombs in the cafe and 2 in CBD area http://t.co/cQ21WPQNAP,1,STcom,sydneysiege,rumour,Sydney Hostages told Australia's channeltennews the gunman claims there are 2 bombs in the cafe and 2 in CBD area,20
"Dear Ozzie media (and CNN), what the f*** is 'Islamic writing'? That's Arabic. No one calls Comic Sans 'Christianist writing'. #sydneysiege",0,anthonypermal,sydneysiege,not_rumour,"Dear Ozzie media and CNN , what the f is 'Islamic writing'? That's Arabic. No one calls Comic Sans 'Christianist writing'. sydneysiege",22
Statement from Prime Minister Tony Abbott on Sydney hostage situation. http://t.co/MHkNRZFQWB,1,Simon_Cullen,sydneysiege,rumour,Statement from Prime Minister Tony Abbott on Sydney hostage situation.,10
If you're taking selfies in #MartinPlace at the site of the #sydneysiege then... I... just... just don't.,0,theprojecttv,sydneysiege,not_rumour,If you're taking selfies in MartinPlace at the site of the sydneysiege then... I... just... just don't.,17
#sydneysiege: Watch the dramatic moment a group of hostages sprinted from the cafe. http://t.co/3xvtZ2RBJj,1,SkyNews,sydneysiege,rumour,sydneysiege Watch the dramatic moment a group of hostages sprinted from the cafe.,13
What do we know so far about the #sydneysiege? Here's everything you need to know: http://t.co/WWy0nebqYI http://t.co/XjTxX30Lmw,0,SkyNews,sydneysiege,not_rumour,What do we know so far about the sydneysiege? Here's everything you need to know,15
Prayers needed for the situation happening in Sydney right now.,0,Jessicaveronica,sydneysiege,not_rumour,Prayers needed for the situation happening in Sydney right now.,10
#BREAKING One man has been arrested and people are being evacuated from the building #sydneysiege #martinplace,1,ABCNews24,sydneysiege,rumour,BREAKING One man has been arrested and people are being evacuated from the building sydneysiege martinplace,16
I'm not Australian but I'm so happy there are people like this in the world. #sydneysiege #illridewithyou http://t.co/ITJFzxmQ8Y,0,MinaTheTerrible,sydneysiege,not_rumour,I'm not Australian but I'm so happy there are people like this in the world. sydneysiege illridewithyou,17
"I love that things like this end up trending worldwide!!! This is so beautiful ❤️ 
#illridewithyou http://t.co/3TZlFoX8id",0,Ileana_Official,sydneysiege,not_rumour,I love that things like this end up trending worldwide!!! This is so beautiful illridewithyou,15
"Sydney hostage crisis: 5 people have escaped, Islamic flag displayed. Our live coverage: http://t.co/CDzl7chb9R http://t.co/mJZHKcJY9e",0,mashable,sydneysiege,not_rumour,"Sydney hostage crisis 5 people have escaped, Islamic flag displayed. Our live coverage",13
Australia's reaction to the #sydneysiege is magnificent #illridewithyou http://t.co/4REoJBzPxD http://t.co/FLkzYFxTc3,0,Independent,sydneysiege,not_rumour,Australia's reaction to the sydneysiege is magnificent illridewithyou,8
Praying for the people of Sydney #sydneysiege  All we need is peace in this world. Sheesh.,0,TameraMowryTwo,sydneysiege,not_rumour,Praying for the people of Sydney sydneysiege All we need is peace in this world. Sheesh.,16
"Call it extremism. Call it stupidity. But don't call it ""Islam"". Don't slander a beautiful faith. And I say that as an Hindu. #sydneysiege",0,Mohan_Velu,sydneysiege,not_rumour,"Call it extremism. Call it stupidity. But don't call it ""Islam"". Don't slander a beautiful faith. And I say that as an Hindu. sydneysiege",24
