text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
This is the last radar contact with the #A320 #Germanwings plane http://t.co/ajdUDFMgAv http://t.co/YtVGPmKmFh,0,MailOnline,germanwings-crash,not_rumour,This is the last radar contact with the A320 Germanwings plane,11
142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,1,minefornothing,germanwings-crash,rumour,142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,12
BREAKING: German air traffic control confirms to NBC NEws that a Germanwings flight has crashed in France. http://t.co/QbF4sKLTCX,1,CNBCnow,germanwings-crash,rumour,BREAKING German air traffic control confirms to NBC NEws that a Germanwings flight has crashed in France.,17
"BREAKING NEWS:

Germanwings Co-Pilot was recent convert to Islam.

http://t.co/fwf86tD88b http://t.co/djkzng2piM",1,JOEROWE409,germanwings-crash,rumour,BREAKING NEWS Germanwings Co-Pilot was recent convert to Islam.,9
» http://t.co/VPPJAceoql plane crash #planecrash Report: Pilot locked out of cockpit before Germanwings crash 27 http://t.co/8IymLEfX69,1,mellberr,germanwings-crash,rumour,plane crash planecrash Report Pilot locked out of cockpit before Germanwings crash 27,13
VIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM,1,France24_en,germanwings-crash,rumour,VIDEO - BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard,15
"#Germanwings crash: How did co-pilot keep the captain out of the cockpit? via @OutFrontCNN
http://t.co/MLAsT2KsuE http://t.co/YQkbk9NdqT",0,CNNVideo,germanwings-crash,not_rumour,Germanwings crash How did co-pilot keep the captain out of the cockpit? via,13
"Received news that a Germanwings Airbus A320 plane crashed in southern France, carrying 142 passengers &amp; 6 crew onboard.",1,adrianlimcheeen,germanwings-crash,rumour,"Received news that a Germanwings Airbus A320 plane crashed in southern France, carrying 142 passengers amp 6 crew onboard.",19
"BREAKING: Distress call linked with #Germanwings jet came from air traffic control, not plane -- aviation official. http://t.co/EOKW9FoIJ4",1,cnni,germanwings-crash,rumour,"BREAKING Distress call linked with Germanwings jet came from air traffic control, not plane -- aviation official.",17
This video shows how the cockpit door of the crashed #Germanwings plane was designed to work http://t.co/iZtw2EHHNN http://t.co/n5U9cxvru9,0,SkyNews,germanwings-crash,not_rumour,This video shows how the cockpit door of the crashed Germanwings plane was designed to work,16
My thoughts are with the friends and family of the passengers of Germanwings flight 4U9525.,0,sjokz,germanwings-crash,not_rumour,My thoughts are with the friends and family of the passengers of Germanwings flight 4U9525.,15
Germanwings flight #4U9525 (registration D-AIPX) was lost from Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/vZaQMUlLaZ,1,flightradar24,germanwings-crash,rumour,Germanwings flight 4U9525 registration D-AIPX was lost from Flightradar24 at 6800 feet at 09.39 UTC time.,16
BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne (French Alps) #Flightradar24 - French TV #itele,1,hamishNews,germanwings-crash,rumour,BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne French Alps Flightradar24 - French TV itele,21
"#4U9525 - The Airbus 320 plunged at a rate of 5,000 feet per minute before crashing.  - @PollyR_Aviation",1,airlivenet,germanwings-crash,rumour,"4U9525 - The Airbus 320 plunged at a rate of 5,000 feet per minute before crashing. -",17
Family members of victims of @germanwings crash arrive at Barcelona's El Prat airport http://t.co/wf2xONhzNQ http://t.co/CBDPm6JiHv,0,elpaisinenglish,germanwings-crash,not_rumour,Family members of victims of crash arrive at Barcelona's El Prat airport,12
"The Germanwings #AirbusA320 was headed from Barcelona, Spain, to Dusseldorf, Germany, French Prime Minister said. http://t.co/iWeLBpmiHS",1,cnnbrk,germanwings-crash,rumour,"The Germanwings AirbusA320 was headed from Barcelona, Spain, to Dusseldorf, Germany, French Prime Minister said.",15
"No survivors are expected from the Airbus A320 crash, the French President says.  http://t.co/5VmBfIGlj2 #germanwings http://t.co/sOmZfCrxMR",0,CNN,germanwings-crash,not_rumour,"No survivors are expected from the Airbus A320 crash, the French President says. germanwings",14
French prosecutor names co-pilot of #germanwings plane that crashed in the Alps as Andreas Lubitz. He was at controls of plane.,1,USATODAY,germanwings-crash,rumour,French prosecutor names co-pilot of germanwings plane that crashed in the Alps as Andreas Lubitz. He was at controls of plane.,21
"My heart goes out to the victims of GermanWings crashed near Marseille, France. 142 passengers, 6crew all feared dead http://t.co/8HbQacJ3id",1,Baekyeoliee,germanwings-crash,rumour,"My heart goes out to the victims of GermanWings crashed near Marseille, France. 142 passengers, 6crew all feared dead",19
'No survivors' in #Germanwings crash says French transport minister adding it crashed after pilot issued distress signal in good weather,1,501Awani,germanwings-crash,rumour,'No survivors' in Germanwings crash says French transport minister adding it crashed after pilot issued distress signal in good weather,20
French Prime Minister now confirming the plane crash. (via @afneil). #4U9525,1,BBCRosAtkins,germanwings-crash,rumour,French Prime Minister now confirming the plane crash. via . 4U9525,11
Latest on the #GermanWings crash from our correspondent @H_E_Samuel http://t.co/q1I8tkghmf http://t.co/jbplIKZ6EW,0,Telegraph,germanwings-crash,not_rumour,Latest on the GermanWings crash from our correspondent,8
IMPORTANT: INFORMATION TELEPHONE FOR RELATIVES OF #A320  TF 00 49 80 011 33 55 77 @germanwings,0,emergenciescat,germanwings-crash,not_rumour,IMPORTANT INFORMATION TELEPHONE FOR RELATIVES OF A320 TF 00 49 80 011 33 55 77,15
"Germanwings CEO says 72 Germans, 35 Spanish citizens and two Americans were aboard plane that crashed in France: http://t.co/JSc0IwmqJu",1,AP,germanwings-crash,rumour,"Germanwings CEO says 72 Germans, 35 Spanish citizens and two Americans were aboard plane that crashed in France",18
"Memo to @ron_fournier: you owe @jimgeraghty an apology:

GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT",1,NoahWehrman,germanwings-crash,rumour,Memo to you owe an apology GERMAN NEWS Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT,15
"German PI-News Magazine is Reporting Germanwings Co-Pilot Was Recent Convert to Islam😏

Read: http://t.co/6aNN7RQUZ6 http://t.co/u9ggRyxnVD",1,Conservative_VW,germanwings-crash,rumour,German PI-News Magazine is Reporting Germanwings Co-Pilot Was Recent Convert to Islam Read,13
#BREAKING: There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. #9News http://t.co/PfEiviM9Po,1,9NewsAUS,germanwings-crash,rumour,BREAKING There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. 9News,19
What we know so far about the #Germanwings crash: http://t.co/eV7PQABBTz http://t.co/Q7wY7GER82,0,cnni,germanwings-crash,not_rumour,What we know so far about the Germanwings crash,9
of the passengers involved for care and assistance. Everyone at Germanwings and Lufthansa is deeply shocked and saddened by these events.4/5,0,lufthansa,germanwings-crash,not_rumour,of the passengers involved for care and assistance. Everyone at Germanwings and Lufthansa is deeply shocked and saddened by these events.4 5,22
"BREAKING #Germanwings #4U9525 co-pilot's name is Andreas Lubitz, a German national, says Marseilles prosecutor.",1,airlivenet,germanwings-crash,rumour,"BREAKING Germanwings 4U9525 co-pilot's name is Andreas Lubitz, a German national, says Marseilles prosecutor.",14
My thoughts are with all the people on the missing Germanwings flight and their families!,0,thejensie,germanwings-crash,not_rumour,My thoughts are with all the people on the missing Germanwings flight and their families!,15
Today's flight path of #4U9525 is exactly matching yesterday's flight path until the moment when signal was lost http://t.co/eC62SfY9Ga,0,flightradar24,germanwings-crash,not_rumour,Today's flight path of 4U9525 is exactly matching yesterday's flight path until the moment when signal was lost,18
"Reports of a plane crash near the French Alps, a GermanWings A320 http://t.co/WDso9Euyhp http://t.co/mpNENahmaW",1,planefinder,germanwings-crash,rumour,"Reports of a plane crash near the French Alps, a GermanWings A320",12
2 babies were among 144 passengers on board crashed #Germanwings plane - @germanwings says in news briefing http://t.co/INhcBgUKHF,1,BBCBreaking,germanwings-crash,rumour,2 babies were among 144 passengers on board crashed Germanwings plane - says in news briefing,16
#Lufthansa tweets on #Germanwings #4U9525 crash - LIVE UPDATES http://t.co/zU6hn03xzU http://t.co/k0jbLmv84k,0,RT_com,germanwings-crash,not_rumour,Lufthansa tweets on Germanwings 4U9525 crash - LIVE UPDATES,9
Co-pilot of Germanwings intentionally crashed the plane but he's white so he's not a terrorist.,0,baelorrr,germanwings-crash,not_rumour,Co-pilot of Germanwings intentionally crashed the plane but he's white so he's not a terrorist.,15
DETAILS: #4U9525 flight crash has been the first accident in history of #Germanwings. http://t.co/WKhAjiH6pQ #A320,0,SputnikInt,germanwings-crash,not_rumour,DETAILS 4U9525 flight crash has been the first accident in history of Germanwings. A320,14
Crash of the Germanwings flight is extremely unfortunate. We share the sorrow &amp; pain of the families of those on board.,0,narendramodi,germanwings-crash,not_rumour,Crash of the Germanwings flight is extremely unfortunate. We share the sorrow amp pain of the families of those on board.,21
"One pilot in #Germanwings crash was locked out of cockpit, @nytimes reports http://t.co/doZIZCHP4o",1,YahooNews,germanwings-crash,rumour,"One pilot in Germanwings crash was locked out of cockpit, reports",11
BREAKING Last few positions of the @germanwings flight plotted on a map http://t.co/wryDeXWNPV /@planefinder,0,airlivenet,germanwings-crash,not_rumour,BREAKING Last few positions of the flight plotted on a map,11
"BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",1,AP,germanwings-crash,rumour,"BREAKING Germanwings CEO Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",13
FOX NEWS ALERT: Search and rescue underway...teams headed to Germanwings plane crash site in French Alps http://t.co/kBkbqYUegs,0,foxandfriends,germanwings-crash,not_rumour,FOX NEWS ALERT Search and rescue underway...teams headed to Germanwings plane crash site in French Alps,16
Full csv file with positions and altitude of flight #4U9525 http://t.co/KQ2hmCTkEX http://t.co/VoJPHRYR29,0,flightradar24,germanwings-crash,not_rumour,Full csv file with positions and altitude of flight 4U9525,10
"Flight #4U9525 is a flight from Barcelona to Dusseldorf.
STD 08:35
ATD 09:00
STA 10:55
Signal lost 09:41
http://t.co/FHoX6q0GHt",1,flightradar24,germanwings-crash,rumour,Flight 4U9525 is a flight from Barcelona to Dusseldorf. STD 08 35 ATD 09 00 STA 10 55 Signal lost 09 41,22
"The twin-engine Airbus A320 is considered among the most reliable aircraft, http://t.co/9Fkd9fPd3e #germanwings http://t.co/R9ag4dGnID",0,NewDay,germanwings-crash,not_rumour,"The twin-engine Airbus A320 is considered among the most reliable aircraft, germanwings",12
"If one pilot leaves, somebody else is supposed to go in so there are always 2 people - @richardquest on #Germanwings http://t.co/kckkBkqjVh",0,AC360,germanwings-crash,not_rumour,"If one pilot leaves, somebody else is supposed to go in so there are always 2 people - on Germanwings",20
#Germanwings Airbus 320 was on its way from Barcelona to Dusseldorf. Disappeared off radar after 11am local time http://t.co/ZPzV2KfigR,0,CBSThisMorning,germanwings-crash,not_rumour,Germanwings Airbus 320 was on its way from Barcelona to Dusseldorf. Disappeared off radar after 11am local time,18
Airport operator Aena: Crashed #GermanWings jet took off from Barcelona airport at 0855 GMT http://t.co/8UPMsinQkX http://t.co/4IpoDSEy7U,0,SkyNews,germanwings-crash,not_rumour,Airport operator Aena Crashed GermanWings jet took off from Barcelona airport at 0855 GMT,14
German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt,1,AJENews,germanwings-crash,rumour,German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board,17
Last known location of crashed Germanwings plane in French Alps: http://t.co/lU1gH1c8dX,0,GMA,germanwings-crash,not_rumour,Last known location of crashed Germanwings plane in French Alps,10
"German Airbus A320 Plane Crashes, 148 People DEAD
https://t.co/94oOOSSSVv
#4U9525 #germanwings #GermanWingsCrash #Airbus320 #planecrash",1,globalnewstw,germanwings-crash,rumour,"German Airbus A320 Plane Crashes, 148 People DEAD 4U9525 germanwings GermanWingsCrash Airbus320 planecrash",13
My deepest condolences to the families of the victims of the flight that crashed in France this morning. http://t.co/4TixfKkRhJ #germanwings,0,eucopresident,germanwings-crash,not_rumour,My deepest condolences to the families of the victims of the flight that crashed in France this morning. germanwings,19
"There are no survivors in the #Germanwings plane that was en route Barcelona, Spain, to Duesseldorf, Germany. Click http://t.co/X0FvJ9xpYu",0,501Awani,germanwings-crash,not_rumour,"There are no survivors in the Germanwings plane that was en route Barcelona, Spain, to Duesseldorf, Germany. Click",18
French officials confirm i/d of #Germanwings copilot as being Andreas  Lubitz. Thought to be 28 y/o. Pictured here. http://t.co/bEKvhEACa1,1,Tburgeswatson,germanwings-crash,rumour,French officials confirm i d of Germanwings copilot as being Andreas Lubitz. Thought to be 28 y o. Pictured here.,20
UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared  at 09:39 UTC from radar http://t.co/GRUjOCXkr9 http://t.co/HWrvDD24ac,1,airlivenet,germanwings-crash,rumour,UPDATE CRASH Germanwings 4U9525 Crash of an A320 disappeared at 09 39 UTC from radar,15
French PM says passengers and crew of Germanwings plane that crash feared dead http://t.co/on24GtCYyv,1,NST_Online,germanwings-crash,rumour,French PM says passengers and crew of Germanwings plane that crash feared dead,13
#A320 Germanwings plane crash: Majority of victims likely to be German says French President http://t.co/U4yg4ndyBo http://t.co/eHb2UetmxI,0,HuffPostUK,germanwings-crash,not_rumour,A320 Germanwings plane crash Majority of victims likely to be German says French President,14
"“There's no black box for the human being,” says @milesobrien of the #Germanwings crash http://t.co/rVGxkdbmkF",0,NewsHour,germanwings-crash,not_rumour,"There's no black box for the human being, says of the Germanwings crash",13
"All evidence indicates copilot of Airbus machine in his 6-months break during his training as a pilot in Germanwings, converted to Islam",1,slone,germanwings-crash,rumour,"All evidence indicates copilot of Airbus machine in his 6-months break during his training as a pilot in Germanwings, converted to Islam",22
Malaysia and Indonesia have yet to recover from #MH370 #MH17 and #QZ8501. Our prayers for families of those aboard @germanwings #4U9525,0,klubbkiddkl,germanwings-crash,not_rumour,Malaysia and Indonesia have yet to recover from MH370 MH17 and QZ8501. Our prayers for families of those aboard 4U9525,20
Subscribe to our Twitter list for latest reports on #Germanwings' #Airbus crash http://t.co/tDzAfiZtne http://t.co/5A72oANlJL,0,BBCWorld,germanwings-crash,not_rumour,Subscribe to our Twitter list for latest reports on Germanwings' Airbus crash,12
Germanwings  flight 4U9525 crashes in French Alps: a 'dark day' for Lufthansa if #4U9525 fears realised - live http://t.co/9la7dYRcUz,0,guardian,germanwings-crash,not_rumour,Germanwings flight 4U9525 crashes in French Alps a 'dark day' for Lufthansa if 4U9525 fears realised - live,18
I'm horrified at the anti-Catalan and anti-German tweets coming from Spanish trolls on Twitter. I will not RT them. #Shame #GermanWings,0,lizcastro,germanwings-crash,not_rumour,I'm horrified at the anti-Catalan and anti-German tweets coming from Spanish trolls on Twitter. I will not RT them. Shame GermanWings,21
Islam &amp; Muslims blamed even when neither have anything to do with mass killing.  #Germanwings #GermanWingsCrash http://t.co/DKmNEqzPc7,1,KhaledBeydoun,germanwings-crash,rumour,Islam amp Muslims blamed even when neither have anything to do with mass killing. Germanwings GermanWingsCrash,16
"Last words from #Germanwings A320 distress call were ""emergency, emergency,"" authorities say. http://t.co/FXVBrA7RPz http://t.co/OxfPISsdvj",1,CNN,germanwings-crash,rumour,"Last words from Germanwings A320 distress call were ""emergency, emergency,"" authorities say.",12
"French authorities say the last words from a #Germanwings #Airbus320 distress call were ""emergency, emergency."" http://t.co/vNqUvdVjfp",1,CNNVideo,germanwings-crash,rumour,"French authorities say the last words from a Germanwings Airbus320 distress call were ""emergency, emergency.""",15
Photo: German Co-Pilot Andreas Lubitz who seems to have crashed the #Germanwings flight no purpose http://t.co/3mSYxvNF3p,1,rConflictNews,germanwings-crash,rumour,Photo German Co-Pilot Andreas Lubitz who seems to have crashed the Germanwings flight no purpose,15
