text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
@vicenews Give the terrorists a public memorial : ceremonially #WrapThemInBacon,0.0,hydar,unknown,unrelated,Give the terrorists a public memorial ceremonially WrapThemInBacon,8
@elonjames showing him robbing a store isn't slander. Brown assaulting an officer and the officer acting in self defense isn't murder.,1.0,sasquatch856,ferguson,rumour,showing him robbing a store isn't slander. Brown assaulting an officer and the officer acting in self defense isn't murder.,20
"@WesleyLowery No camo suits, etc. today?",0.0,dpleasant,ferguson,not_rumour,"No camo suits, etc. today?",5
@vcs_17 @World_newsstand @doubtinggaurav the same opinion as them even Muslims as they feel that those Muslims are betraying their religion,1.0,spacepeopleman,unknown,unrelated,the same opinion as them even Muslims as they feel that those Muslims are betraying their religion,17
"@c_aashish @WanderingWolf2 @TheJaggi @dhume Well, read smwhere, Jihad is waged using 'Heart', 'Sword', 'Pen' &amp; 'Tongue'.",0.0,gooruG,unknown,unrelated,"Well, read smwhere, Jihad is waged using 'Heart', 'Sword', 'Pen' amp 'Tongue'.",12
@BklynMiddleton u r among the only journalists saying kosher market &amp; not calling it something generic. If it's kosher it was targeted. Thx,1.0,PD28,unknown,unrelated,u r among the only journalists saying kosher market amp not calling it something generic. If it's kosher it was targeted. Thx,22
@cnnbrk All this gestures and rising pens in support are great but meaningless. First thing is to kill the terrorists any way we can.,0.0,Woodpecker143,charliehebdo,not_rumour,All this gestures and rising pens in support are great but meaningless. First thing is to kill the terrorists any way we can.,23
@MarkCC @No_Cut_Card @AntonioFrench ah no see i said i was going off what i heard and i heard it was riots my bad,0.0,oJKo7,ferguson,not_rumour,ah no see i said i was going off what i heard and i heard it was riots my bad,20
@keithboykin No in white cop world...you know the drill.,1.0,CatSnedeker,ferguson,rumour,No in white cop world...you know the drill.,8
@juliamacfarlane In one respect; part of me hopes they give the French armed police a legitimate reason.....,1.0,Peter_J_Farmer,unknown,unrelated,In one respect part of me hopes they give the French armed police a legitimate reason.....,16
@DonCaliOaks @cruddydayday I already tweeted about that bro sorry you missed the train,0.0,iMONST3R,ferguson,not_rumour,I already tweeted about that bro sorry you missed the train,11
@PrisonPlanet NOTHING justifies militarized police pointing sniper rifles at anyone #fixed,1.0,jurogumo,ferguson,rumour,NOTHING justifies militarized police pointing sniper rifles at anyone fixed,10
@iowahawkblog In every war there are those who fight and those who simply surrender. The major media is the Desert Storm Iraqi infantry.,0.0,wellsitter,unknown,unrelated,In every war there are those who fight and those who simply surrender. The major media is the Desert Storm Iraqi infantry.,22
"@NewDay @cnnbrk @camanpour مقلب حرامي السيارات - Grand Theft Auto V Prank

 http://t.co/jRQXSJbuFI",0.0,ahmedelssaidy,charliehebdo,not_rumour,- Grand Theft Auto V Prank,6
“@JustinGlawe: The other day I asked a manager at the #Ferguson Market if police had requested surveillance video. She said no.” Welp,1.0,SiDonTrip,ferguson,rumour,The other day I asked a manager at the Ferguson Market if police had requested surveillance video. She said no. Welp,21
"@jljacobson @heidiyog_tom @stephenfhayes reports are now that the officer was responding to the call, I thought...",0.0,Oddly_Normal,ferguson,not_rumour,"reports are now that the officer was responding to the call, I thought...",13
"@kristacole17 @DanteB4u @CallsForJustice Of course not...they have this fake police report, but no dispatch call detailing alleged robbery!",1.0,coreybking,ferguson,rumour,"Of course not...they have this fake police report, but no dispatch call detailing alleged robbery!",15
@HeyDrWilson we had an officer involved shooting last month. We knew details within an hour!!!  Video eventually released to corroborate...,1.0,slycatkent79,ferguson,rumour,we had an officer involved shooting last month. We knew details within an hour!!! Video eventually released to corroborate...,19
@TheAnonMessage2 Seriously tell us something we don't already know,1.0,SeattleNoire,ferguson,rumour,Seriously tell us something we don't already know,8
@Techworm_in @YourAnonNews regardless of target we can not support anything that #ISIS does they are the enemy and they need to be squashed,0.0,Thegrayhats,unknown,unrelated,regardless of target we can not support anything that ISIS does they are the enemy and they need to be squashed,21
@washingtonpost Try this in TX or TN. All it would have taken is a couple dudes with a .380 in an ankle holster &amp; that number would be less.,1.0,DeLoachJW,unknown,unrelated,Try this in TX or TN. All it would have taken is a couple dudes with a .380 in an ankle holster amp that number would be less.,28
@FrankConniff Cop deserves a trial too - something that many seem to forget.,1.0,Cdbrow1,ferguson,rumour,Cop deserves a trial too - something that many seem to forget.,12
@AdnanKhojah the one on the left is an #Islamist #JihadistJoe,0.0,tAsarlai,unknown,unrelated,the one on the left is an Islamist JihadistJoe,9
@ljnicholls74 @piersmorgan i know all their crimes ... Is it really different from mass murdering children at a youths camp ??,1.0,mostafaihab96,unknown,unrelated,i know all their crimes ... Is it really different from mass murdering children at a youths camp ??,19
@AzulayRomond @grasswire #Ferguson #Mike Brown they want it to be a white/black thing but it's a human thing #B1,0.0,mikeinglenc,ferguson,not_rumour,Ferguson Mike Brown they want it to be a white black thing but it's a human thing B1,18
"@Jeffmoyle @peddoc63 you just contradicted yourself, my point is Islam isn't bad bc of a group of extremists.",0.0,Dirtyy_jsanchez,unknown,unrelated,"you just contradicted yourself, my point is Islam isn't bad bc of a group of extremists.",16
@Naila_TRQ @Geddy5 @DAVIDMDRAIMAN but every terrorist today is a Muslim. Are you denying that.,0.0,Engrugger,unknown,unrelated,but every terrorist today is a Muslim. Are you denying that.,11
".@nyblossom @coreybking @CallsForJustice - Isn't this #STLPD Dispatch, and not #Ferguson? #Ferguson created smokescreen knew it was murder!",1.0,DanteB4u,ferguson,rumour,". - Isn't this STLPD Dispatch, and not Ferguson? Ferguson created smokescreen knew it was murder!",16
"“@YourAnonNews: How can you not be moved by the people of #Ferguson

https://t.co/ehdJRwDy87” AMAZING #MikeBrown #Ferguson",0.0,YungLazerBrain,ferguson,not_rumour,How can you not be moved by the people of Ferguson AMAZING MikeBrown Ferguson,14
"@moneyries blogger, too early to be mean to the internets...be happy!",1.0,jmitura,unknown,unrelated,"blogger, too early to be mean to the internets...be happy!",10
".@AmyMek In #EricHolder's eyes, these guys can do No Wrong, but then Holder just stole Tax $'s 2 entertain his daughters &amp; their #BFFs.",1.0,Boazziz,ferguson,rumour,". In EricHolder's eyes, these guys can do No Wrong, but then Holder just stole Tax 's 2 entertain his daughters amp their BFFs.",24
@nytimes @Greebobek No way! Kill them all.,0.0,LucatelliSam,unknown,unrelated,No way! Kill them all.,5
@BBCBreaking now put it on live tv news!!!!,1.0,peterrch3,unknown,unrelated,now put it on live tv news!!!!,7
@cannyfellow why? It's a fairy story,0.0,NeilJIrving24,charliehebdo,not_rumour,why? It's a fairy story,5
@AlwaysACowboy that makes 2 of us!,0.0,ShameSheep,unknown,unrelated,that makes 2 of us!,5
@HillelNeuer @MelanieLatest eeeeeeerrrrrmm the Koran tells muslims they cannot rule the world until the Jews have been slaughtered!!,0.0,Hatefibbers,unknown,unrelated,eeeeeeerrrrrmm the Koran tells muslims they cannot rule the world until the Jews have been slaughtered!!,16
"@James_M_Perry @rkn429 The red cap is there, see other angle",1.0,ShmooReport,ferguson,rumour,"The red cap is there, see other angle",8
@Rizdom82 @steveplrose @Shahidmasooddr no worries mate... we are waiting pak to take kashmir away from us..and divide india.,0.0,Di_Vikas,unknown,unrelated,no worries mate... we are waiting pak to take kashmir away from us..and divide india.,15
"@alexquinn35 @mehdirhasan Coul have just said "" This is an unjustifiable attack.. """,0.0,parttimeloon,charliehebdo,not_rumour,"Coul have just said "" This is an unjustifiable attack.. """,11
