text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
A few of the best cartoons drawn &amp; shared in solidarity with #CharlieHebdo after yesterday's massacre #JeSuisCharlie http://t.co/qLj480gcxd,0,Beltrew,charliehebdo,not_rumour,A few of the best cartoons drawn amp shared in solidarity with CharlieHebdo after yesterday's massacre JeSuisCharlie,17
"The Canadian soldier shot at the War Memorial has died, officials reported. http://t.co/uKQg1qVQm6 #OttawaShooting http://t.co/bbG09qLY26",1,CNN,ottawashooting,rumour,"The Canadian soldier shot at the War Memorial has died, officials reported. OttawaShooting",13
"please repost this and stay out of Sydney on New Years, better safe than sorry! http://t.co/hh0PHk55Ps",1,emilywby,sydneysiege,rumour,"please repost this and stay out of Sydney on New Years, better safe than sorry!",15
Terrible news... Airbus A320 from Barcelona to Dusseldorf has crashed in France (Germanwings Flight 9525). http://t.co/C3zpWZ5bIF,1,champ_ian,germanwings-crash,rumour,Terrible news... Airbus A320 from Barcelona to Dusseldorf has crashed in France Germanwings Flight 9525 .,16
"DETAILS: Car chase in norhteastern France, hostages taken by #CharlieHebdo suspects http://t.co/G6eunBDIrj http://t.co/sWDOsIfEnP",1,RT_com,charliehebdo,rumour,"DETAILS Car chase in norhteastern France, hostages taken by CharlieHebdo suspects",11
The barricade of chairs MPs built to protect themselves from #OttawaShootings http://t.co/chVwXoViH9 http://t.co/L6maa7jonq,0,BBCWorld,ottawashooting,not_rumour,The barricade of chairs MPs built to protect themselves from OttawaShootings,11
"Canadian police say #OttawaShooting ""caught us by surprise"" http://t.co/xpS6u85aRh http://t.co/ojAcFkiORc",0,BBCWorld,ottawashooting,not_rumour,"Canadian police say OttawaShooting ""caught us by surprise""",8
BREAKING: Five have now escaped a hostage situation at a cafe in downtown Sydney #sydneysiege http://t.co/gl30dy8PYN http://t.co/7oYbXnAeKV,1,Independent,sydneysiege,rumour,BREAKING Five have now escaped a hostage situation at a cafe in downtown Sydney sydneysiege,15
Who is in Ferguson? Who can livestream? Who can tweet? The world needs to know what is going on. Let's show them. #Ferguson #OpFerguson,0,YourAnonNews,ferguson,not_rumour,Who is in Ferguson? Who can livestream? Who can tweet? The world needs to know what is going on. Let's show them. Ferguson OpFerguson,24
#BREAKING Canadian officials: Soldier shot in Ottawa has died http://t.co/ddbmihjxGB,1,USATODAY,ottawashooting,rumour,BREAKING Canadian officials Soldier shot in Ottawa has died,9
"BREAKING: Three Sydney hostages flee cafe, Australian TV networks report http://t.co/gZ5EXZIrwa",1,NBCNews,sydneysiege,rumour,"BREAKING Three Sydney hostages flee cafe, Australian TV networks report",10
God bless all the hostages being held in Sydney today .. I pray that this all ends well and nobody gets hurt !!,0,MariamDiamond,sydneysiege,not_rumour,God bless all the hostages being held in Sydney today .. I pray that this all ends well and nobody gets hurt !!,23
"Right when we thought things were beginning to cool down, bam! #Ferguson",0,MichaelSkolnik,ferguson,not_rumour,"Right when we thought things were beginning to cool down, bam! Ferguson",12
Our last position reports of the Germanwings plane shows a very rapid descent http://t.co/OhJAEeyVoK,1,planefinder,germanwings-crash,rumour,Our last position reports of the Germanwings plane shows a very rapid descent,13
"What's happening in Sydney will happen in the uk it's inevitable, and our political leaders will have blood on their hands",0,TRobinsonNewEra,sydneysiege,not_rumour,"What's happening in Sydney will happen in the uk it's inevitable, and our political leaders will have blood on their hands",21
"UPDATE: Reports the gunman has released three hostages, with the six hour #siege unravelling. Details to come. #9News",1,9NewsSyd,sydneysiege,rumour,"UPDATE Reports the gunman has released three hostages, with the six hour siege unravelling. Details to come. 9News",18
200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community,1,rtgarden,ferguson,rumour,200 cops in riot gear in ferguson because there is a prayer circle and a concerned compassionate community,18
At least 11 dead in Muslim terror attack on France.  Show your support by posting Charlie Hebdo cartoons. #banislam http://t.co/85PozIrhHg,0,destroyoislamo,charliehebdo,not_rumour,At least 11 dead in Muslim terror attack on France. Show your support by posting Charlie Hebdo cartoons. banislam,19
US Embassy in Paris changes Twitter pic to #JeSuisCharlie @USEmbassyFrance http://t.co/amZEARKIHq,0,donie,charliehebdo,not_rumour,US Embassy in Paris changes Twitter pic to JeSuisCharlie,9
"Some press now blurring CharlieHebdo cartoons as cartoonists foresaw. This one says ""Charlie Hebdo Should be Veiled"" http://t.co/x857AJFa3F",0,PGourevitch,charliehebdo,not_rumour,"Some press now blurring CharlieHebdo cartoons as cartoonists foresaw. This one says ""Charlie Hebdo Should be Veiled""",17
"""Putin umer"" or ""Putin has died,"" is now trending on the Russian Internet. @LToddWood #putindead",1,MikeDiazFL,putinmissing,rumour,"""Putin umer"" or ""Putin has died,"" is now trending on the Russian Internet. putindead",14
"Lots of people -- some prayerful, some sad, some angry -- have gathered outside the #Ferguson police headquarters http://t.co/KfbHCGNrzk",0,AntonioFrench,ferguson,not_rumour,"Lots of people -- some prayerful, some sad, some angry -- have gathered outside the Ferguson police headquarters",18
"NHL reportedly monitoring situation in Ottawa after shootings, could postpone Sens/Leafs game. http://t.co/OavGx3e04I http://t.co/kIybRf4D5y",0,theScore,ottawashooting,not_rumour,"NHL reportedly monitoring situation in Ottawa after shootings, could postpone Sens Leafs game.",13
"#Ottawa police confirm to #CBCNews they are still seeking 1 or more suspects after shootings on Parliament Hill, War Memorial, nearby mall.",1,CBCAlerts,ottawashooting,rumour,"Ottawa police confirm to CBCNews they are still seeking 1 or more suspects after shootings on Parliament Hill, War Memorial, nearby mall.",22
"Jihadist flags &amp; petrol bombs found in car used by #CharlieHebdo attack suspects, sources tell French media http://t.co/9ZvWyifaLk",0,BBCBreaking,charliehebdo,not_rumour,"Jihadist flags amp petrol bombs found in car used by CharlieHebdo attack suspects, sources tell French media",17
I was briefed overnight on the siege in Sydney. It's deeply concerning and my thoughts are with all those caught up in it.,0,David_Cameron,sydneysiege,not_rumour,I was briefed overnight on the siege in Sydney. It's deeply concerning and my thoughts are with all those caught up in it.,23
"When police are militarized, they go to war with citizens. #Ferguson http://t.co/WHMDzIegv1",0,akronwobbly,ferguson,not_rumour,"When police are militarized, they go to war with citizens. Ferguson",11
#Canada journalist captures outbreak of small-arms fire inside Parliament building in #Ottawa: http://t.co/oFsOV9xva2,1,Charles_Lister,ottawashooting,rumour,Canada journalist captures outbreak of small-arms fire inside Parliament building in Ottawa,12
Why Putin’s “Coup” Might be a Staged Event to Win Back the West | FrontPage Magazine http://t.co/BRf63GD6o3,1,Sultanknish,putinmissing,rumour,Why Putins Coup Might be a Staged Event to Win Back the West FrontPage Magazine,15
If Sydney had been Texas 10 customers would have drawn guns the moment the ISIS terrorist walked in... #2A,0,ChuckNellis,sydneysiege,not_rumour,If Sydney had been Texas 10 customers would have drawn guns the moment the ISIS terrorist walked in... 2A,19
Radical Muslim cleric Sheik Man Haron Monis has been revealed as the gunman behind #SydneySiege: http://t.co/7Q4Vnj6EOb #9News,1,9NewsSyd,sydneysiege,rumour,Radical Muslim cleric Sheik Man Haron Monis has been revealed as the gunman behind SydneySiege 9News,16
NEW DEVELOPMENT: Pentagon supplied St. Louis County police with military-grade weapons. #Ferguson,1,TheAnonMessage2,ferguson,rumour,NEW DEVELOPMENT Pentagon supplied St. Louis County police with military-grade weapons. Ferguson,12
"French PM says he fears those aboard the #Germanwings Airbus A320 jetliner may be dead. http://t.co/AJji9cN1w2
https://t.co/8q1zCYZhN5",0,CNN,germanwings-crash,not_rumour,French PM says he fears those aboard the Germanwings Airbus A320 jetliner may be dead.,15
Crash of the Germanwings flight is extremely unfortunate. We share the sorrow &amp; pain of the families of those on board.,0,narendramodi,germanwings-crash,not_rumour,Crash of the Germanwings flight is extremely unfortunate. We share the sorrow amp pain of the families of those on board.,21
