text,is_rumor,user.handle,topic,label,cleaned_tweet,word_count
"Swiss museum, German officials to announce fate of  #Gurlitt art collection at 11CET. http://t.co/7NlXiG4hcz",0,meddybln,gurlitt,not_rumour,"Swiss museum, German officials to announce fate of Gurlitt art collection at 11CET.",13
"Uta Werner, 1st cousin of the late Cornelius Gurlitt, to formally challenge will that named Kunstmuseum Bern as heir. http://t.co/epLn5CBk3O",0,sauterne,gurlitt,not_rumour,"Uta Werner, 1st cousin of the late Cornelius Gurlitt, to formally challenge will that named Kunstmuseum Bern as heir.",19
"‘Degenerate’ artworks seized by Nazis should go back to museums, says German advisor @AFP @millbarnet http://t.co/SDG2pfTY6n #Gurlitt",0,doberah,gurlitt,not_rumour,"Degenerate artworks seized by Nazis should go back to museums, says German advisor Gurlitt",14
Swiss Museum Debates Expensive and Unsought Responsibility of Gurlitt Hoard http://t.co/DWgVRwOZ7o,1,artmarket,gurlitt,rumour,Swiss Museum Debates Expensive and Unsought Responsibility of GurlittHoard,9
Regarding the Gurlitt collection Schäublin says their own research centre at the Kunstmuseum Bern must be considered.,0,sauterne,gurlitt,not_rumour,Regarding the Gurlitt collection Schublin says their own research centre at the Kunstmuseum Bern must be considered.,17
"Gurlitt collection accepted by Bern museum, provided art works were not stolen by Nazis http://t.co/UmoeHLD1Lw",1,swissinfo_en,gurlitt,rumour,"Gurlitt collection accepted by Bern museum, provided art works were not stolen by Nazis",14
"Germany: 3 works in #Gurlitt collection itentified as Nazi-loot to be returned to families immediately; Matisse, Max Liebermann, Spitzweg.",0,meddybln,gurlitt,not_rumour,"Germany 3 works in Gurlitt collection itentified as Nazi-loot to be returned to families immediately Matisse, Max Liebermann, Spitzweg.",19
Gurlitt Collection Accepted by Kunstmuseum Bern—details from the announcement in Berlin: http://t.co/2oJndsNCwS,1,AlexanderForbes,gurlitt,rumour,Gurlitt Collection Accepted by Kunstmuseum Berndetails from the announcement in Berlin,11
Swiss museum will accept Gurlitt art trove: A Swiss museum agreed on Monday to accept a priceless collection o... http://t.co/bFjWwPvjHS,1,SocInNashville,gurlitt,rumour,Swiss museum will accept Gurlitt art trove A Swiss museum agreed on Monday to accept a priceless collection o...,19
Swiss Museum Deciding on Gurlitt Art Trove: Swiss museum to announce decision on future of collector Gurlitt's... http://t.co/hM4I0qiiZx,0,ShambhaviRouth,gurlitt,not_rumour,Swiss Museum Deciding on Gurlitt Art Trove Swiss museum to announce decision on future of collector Gurlitt's...,17
The plot thickens: #Gurlitt's cousin claims Munich #art trove as inheritance http://t.co/Z8k55lzPLp via @YahooNews,0,theladyingold,gurlitt,not_rumour,The plot thickens Gurlitt's cousin claims Munich art trove as inheritance via,12
Swiss Museum Will Accept Gurlitt Art Trove http://t.co/rAstSmuwYP,1,rogab314,gurlitt,rumour,Swiss Museum Will Accept Gurlitt Art Trove,7
Swiss museum: No works in #Gurlitt collection that are or might be looted will enter the Bern collection. Task force will cont. research,0,meddybln,gurlitt,not_rumour,Swiss museum No works in Gurlitt collection that are or might be looted will enter the Bern collection. Task force will cont. research,23
"Bern's Museum of Fine Arts accepts Gurlitt art collection, but only works that were not stolen by Nazis http://t.co/ghqeNGoPAK",1,matthewallen40,gurlitt,rumour,"Bern's Museum of Fine Arts accepts Gurlitt art collection, but only works that were not stolen by Nazis",18
#CorneliusGurlitt cousin lodges direct claim for #MunichArtTrove Read the news @Artlyst http://t.co/vwfKePTHkw http://t.co/kTW9qZSzCN,0,Artlyst,gurlitt,not_rumour,CorneliusGurlitt cousin lodges direct claim for MunichArtTrove Read the news,10
Kunstmuseum accepts Gurlitt collection bequest. Pledges to fully investigate artwork restitution claims fully.,1,sauterne,gurlitt,rumour,Kunstmuseum accepts Gurlitt collection bequest. Pledges to fully investigate artwork restitution claims fully.,13
Tainted #Gurlitt collection should be sold with profits going to Jewish organizations. #WWII via .@erynecki  http://t.co/DYXr982FFR,0,jeffwilliams2x2,gurlitt,not_rumour,Tainted Gurlitt collection should be sold with profits going to Jewish organizations. WWII via .,15
Bern museum accepts Gurlitt's problematic bequest. Let the litigation begin! http://t.co/pT9t2VQj8Z,1,JuliaKMichalska,gurlitt,rumour,Bern museum accepts Gurlitt's problematic bequest. Let the litigation begin!,10
Bern to announce Gurlitt bequest decision on Monday in Berlin,0,CathyHickley,gurlitt,not_rumour,Bern to announce Gurlitt bequest decision on Monday in Berlin,10
Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt http://t.co/4euSXR3Agm,1,WSJbreakingnews,gurlitt,rumour,Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt,11
ArtsBeat: Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum: A cousin of... http://t.co/PTK88PSzpt #art,0,disimic,gurlitt,not_rumour,ArtsBeat Cousin of Cornelius Gurlitt Challenges Will That Leaves Collection to Swiss Museum A cousin of... art,17
Swiss museum accepts looted Nazi art http://t.co/gxqAmjNSoV  #historical painful memories 70 years later. #NeverForget,1,WhyNowProject,gurlitt,rumour,Swiss museum accepts looted Nazi art historical painful memories 70 years later. NeverForget,13
"On eve of Monday's announcement, Gurlitt relatives formally challenge the will that named Kunstmuseum Bern as heir http://t.co/5JqcjTXYB4",0,NicholasMOD,gurlitt,not_rumour,"On eve of Monday's announcement, Gurlitt relatives formally challenge the will that named Kunstmuseum Bern as heir",17
