sid,Id,CreatedAt,author_id,OrigTweet,mVader,mRetweets,mLikes,mReplies,mHasURL,mHasMedia,mUFollowers,mUFollowing,mUTweets,mUVader,Rumour,Type of rumour,label,rumour_type,cleaned_tweet,word_count
815,wp0bWqpokaBd3,2023-03-02 18:28:26+00:00,V7roqk,"I worked at Manchester Arena during my student days. 

We were trained for bomb attacks. 

I watched in horror years later as children died on the same shiny white concourse I had walked over time after time in my blue uniform holding my radio, sharing laughs w colleagues. https://t.co/5qCeRUdgGs",-0.801995608018326,0,4,1,1,0,4950,2130,17577,-0.801995608018326,True,,reliable,,"I worked at Manchester Arena during my student days. We were trained for bomb attacks. I watched in horror years later as children died on the same shiny white concourse I had walked over time after time in my blue uniform holding my radio, sharing laughs w colleagues.",48
3150,NWp37w7nqdjJZ,2022-10-31 09:13:09+00:00,0YG6lDoPkjbw,"@GBNEWS They must be stopped . They are a danger to the general public.
https://t.co/1TTVlVgbqM",-0.648556646884329,0,1,0,1,0,460,851,5385,-0.327396280095231,True,,unrelated,,They must be stopped . They are a danger to the general public.,13
51956,pR4d193a8JED,2017-05-25 01:26:03+00:00,aGllrerXV90B,"Manchester Area Explosion: Suicide bomber behind assault, 22 individuals killed https://t.co/yme3XcFWVr",-0.930007282051376,0,0,0,1,0,19,172,25060,-0.930007282051376,True,,reliable,,"Manchester Area Explosion Suicide bomber behind assault, 22 individuals killed",10
15166,vpA3E9ZxPl6Yv,2020-09-06 09:19:25+00:00,0Kv4jwobOnBO,"@KH118118 @leaih @kent_police @VeteranLittle Just for the record the Paris attack (pictured) was conducted by people that entered France illegally. The Manchester Arena bombers family were given asylum from Libya, I could go on but you aren’t ready to look at the facts only the fiction",-0.153093108923949,0,0,1,0,0,225,302,12415,-0.153093108923949,Fake,Refugee bomber,misinformation,Refugee bomber,"Just for the record the Paris attack pictured was conducted by people that entered France illegally. The Manchester Arena bombers family were given asylum from Libya, I could go on but you arent ready to look at the facts only the fiction",42
25548,w7ejj1EmDLk4,2018-10-25 18:10:07+00:00,VKQ8BYnWeO4Y,Pep Guardiola rushed to Manchester Arena to find wife and daughters after terror attack https://t.co/sUSuoBRiD0 https://t.co/XIBC0ZtWMS,-0.757936728959867,0,0,0,1,0,89,28,95821,-0.748915102818617,True,,reliable,,Pep Guardiola rushed to Manchester Arena to find wife and daughters after terror attack,14
58691,WPnBWoZV9ovw,2017-05-24 05:28:35+00:00,BKXdk1O,I actually agree with this woman ... https://t.co/QFhu3Y5SMh,0.361157559257308,0,1,0,1,0,264,447,2506,0.361157559257308,True,,unrelated,,I actually agree with this woman ...,7
18818,WBB97KdDlEvRv,2020-02-07 18:01:58+00:00,r0X6eLamlqlm,Manchester Arena attack sibling ‘would have reported plot’ https://t.co/KZd7Umr026 https://t.co/sTpVCCRqSP,-0.476657605574574,0,0,0,1,1,24,1,24594,-0.486476895284846,True,,reliable,,Manchester Arena attack sibling would have reportedplot,7
58363,ro03Ep88vP1O,2017-05-24 06:45:22+00:00,LEAmRVG,American officials criticised for leaking the identity of the Mcr bomber before British police officially named him. https://t.co/rAlOBRn2yI,-0.421463615211762,0,0,0,1,0,1635,4997,4034,-0.421463615211762,True,,reliable,,American officials criticised for leaking the identity of the Mcr bomber before British police officially named him.,17
36095,D0PEOzxYNaKo,2017-12-24 07:38:49+00:00,KQokEKO,Teddies to be distributed to children via Greater Manchester charities https://t.co/lh9F2H9MgA https://t.co/NRe8xsEBJd,0.648556646884329,1,5,0,1,1,107070,3689,112234,-0.319662132718462,True,,reliable,,Teddies to be distributed to children via Greater Manchester charities,10
29117,dO869AzwdQVQ,2018-05-22 12:16:18+00:00,0pDvYr,This Tweet from @Pinky1984 has been withheld in response to a report from the copyright holder. Learn more.,0.0,3,11,0,1,1,234,1179,1014,0.0,True,,unrelated,,This Tweet from has been withheld in response to a report from the copyright holder. Learn more.,17
76392,3GLlB6j4Von0,2017-05-23 10:02:41+00:00,bvzZZx,Thoughts are with her friends and family at this devastating time 😢❤️https://t.co/5GlE2Q5NMd,-0.273212885294474,0,0,0,1,0,9449,8580,19966,-0.284585529747334,True,,unrelated,,Thoughts are with her friends and family at this devastating time,11
53105,6WQDowBxxKDr,2017-05-24 19:35:50+00:00,8Ej1Yo9,"Shape of things to come. Our ""secret"" Brexit negotiating stance will come to us courtesy of foreign press. https://t.co/RPjjqNWAuW",0.361157559257308,0,0,0,1,0,1060,102,115092,0.361157559257308,True,,unrelated,,"Shape of things to come. Our ""secret"" Brexit negotiating stance will come to us courtesy of foreign press.",18
36462,VQBJRlzexEze,2017-12-07 09:38:46+00:00,mx9MMW,".@BorisJohnson described @jeremycorbyn as “absolutely monstrous” for linking the “war on terror” to attacks like the Manchester Arena bombing 

Today, apparently, this hypocrite has a go at Corbyn in the S*n

With May frozen, David Davis lying, we still have #Austerity4Ever https://t.co/I3bfY7G5K4",-0.911150726496338,36,29,3,1,1,29997,23595,200840,-0.429789832091699,True,,reliable,,". described as absolutely monstrous for linking the war on terror to attacks like the Manchester Arena bombing Today, apparently, this hypocrite has a go at Corbyn in the S n With May frozen, David Davis lying, we still have Austerity4Ever",41
19199,xdnQEQRRDDJ30,2020-01-23 08:01:07+00:00,GE3v8bP,"@MoJGovUK As a #natsec researcher, I am interested in understanding how changes to sentencing model will affect the bandwidth of #MI5.  ""Mr Parker said there were currently 500 live operations involving 3,000 people involved in militant activity."" (17Oct2017) https://t.co/thkKzSfgNK",0.273212885294474,1,0,0,1,0,446,3986,77677,-0.58033842581109,True,,unrelated,,"As a natsec researcher, I am interested in understanding how changes to sentencing model will affect the bandwidth of MI5. ""Mr Parker said there were currently 500 live operations involving 3,000 people involved in militant activity."" 17Oct2017",37
45144,0GMLvk8xOBzY,2017-05-30 10:44:40+00:00,lePRb7X,"“@MENnewsdesk: Mapped: Every arrest and raid in connection with the Manchester Arena bomb so far...
https://t.co/Ry64ojx5IM”",-0.68082252702501,0,0,0,1,0,13482,9,766560,-0.49843258573356,True,,reliable,,Mapped Every arrest and raid in connection with the Manchester Arena bomb so far...,14
83002,wZ7MPPApXO9Y,2017-05-23 06:31:40+00:00,6o3JA0r,NigeriaNewsdesk: YNaija Tracklist | Suspected terror attack reported in Manchester Arena | DPR to spend N828m on…… https://t.co/gU5yeQG0c4,-0.812604508328942,0,0,0,1,0,1585,346,569888,-0.685532284009019,True,,reliable,,NigeriaNewsdesk YNaija Tracklist Suspected terror attack reported in Manchester Arena DPR to spend N828m on,15
56625,3Gb8x8pBRJmR,2017-05-24 11:33:36+00:00,eGlxQx3,"https://t.co/gIUmgUJO2E–Manchester Arena attack: Yaya Toure &amp; agent to donate £100,000 for victims https://t.co/PNPFn3Ancw",-0.636949942926426,0,0,0,1,0,16333,36112,111294,-0.543011695190762,True,,reliable,,"Arena attack Yaya Toure amp agent to donate 100,000 forvictims",10
70283,6WvdAjA8bmoj,2017-05-23 13:17:34+00:00,7NZBqoD,"1. Report: Manchester bomber was Salman Abedi, who was known to British authorities prior to the attack https://t.co/3GFiCkNhOs",-0.421463615211762,27,11,0,1,0,22354,3389,98456,-0.657385704957427,True,,reliable,,"1. Report Manchester bomber was Salman Abedi, who was known to British authorities prior to the attack",17
66205,WPJPPvWr664x,2017-05-23 16:20:01+00:00,Z3YrZ6,This Morning's @hollywills sends a very important message https://t.co/Fm0m8v5aWB,0.202288694969669,3,17,0,1,0,527243,61882,661327,-0.0495776599908135,True,,unrelated,,This Morning's sends a very important message,7
88531,lbX8b4AeX8RK,2017-05-22 23:34:22+00:00,kb33pj,#UK -#Manchester #Explosion- @SkyNewsBreak reports #bomb disposal team arrived at Manchester Arena - #children flee https://t.co/EcJOV4A9L2 https://t.co/XqbnYQbj6z,0.0,1,0,0,1,1,2927,1749,88653,-0.629308413430219,True,,reliable,,UK -Manchester Explosion- reports bomb disposal team arrived at Manchester Arena - children flee,14
79613,rondB3ABQon4,2017-05-23 08:34:35+00:00,Lm3nmRJ,Manchester Arena attack: Children among 22 killed at Ariana Grande concert by suicide bomb explosion - Telegraph.c… https://t.co/RT8yxSkXoG,-0.945979389890252,0,0,0,1,0,293,1,43833,-0.337096549669037,True,,reliable,,Manchester Arena attack Children among 22 killed at Ariana Grande concert by suicide bomb explosion - Telegraph.c,17
80217,wZ7J1lM6ZwEa,2017-05-23 08:14:09+00:00,LjVBk8X,"This morning, a police cordon remains around the Manchester Arena following an attack that killed at least 22 people. https://t.co/zrLYSVz4yN",-0.822462893624465,0,0,0,1,1,230,1048,1647,-0.862041454492068,True,,reliable,,"This morning, a police cordon remains around the Manchester Arena following an attack that killed at least 22 people.",19
63358,WPJRMkwQbxdX,2017-05-23 18:51:45+00:00,9v4VDvD,#Jackrobinson73 Guardiola: Man City coach's family flee https://t.co/UWtnGbDCpl #Jackrobinson73,0.0,0,0,0,1,0,18,34,51481,-0.425986381119396,True,,unrelated,,Jackrobinson73 Guardiola Man City coach's family flee Jackrobinson73,8
16072,WB9EnNL0Okozj,2020-08-09 12:13:33+00:00,NlqZY7p,@zarahsultana Depends what sort of attack you're talking about.  Manchester Arena bomber from Libya offered asylum?? Idiot.,-0.750630313328434,0,0,0,0,0,2727,3031,14313,-0.750630313328434,Fake,Refugee bomber,misinformation,Refugee bomber,Depends what sort of attack you're talking about. Manchester Arena bomber from Libya offered asylum?? Idiot.,16
60480,eD88pOlp0e1Y,2017-05-23 23:00:01+00:00,Z3YrZ6,"Safety checks, tributes and what actually happened – all the details https://t.co/VU7EgGkYc4",0.421463615211762,3,16,0,1,0,527243,61882,661327,-0.0495776599908135,True,,unrelated,,"Safety checks, tributes and what actually happened all the details",10
27561,dOe99Lj9k0Vz,2018-06-05 06:33:55+00:00,PVBqadW,Ariana says she's suffering from PTSD after last year's Manchester Arena bomb attack at her concert which killed 22 people https://t.co/fz8JCuslW9 https://t.co/YLBEdUpflP,-0.931272453865628,2,8,1,1,1,148658,6272,78962,-0.676484282979496,True,,reliable,,Ariana says she's suffering from PTSD after last year's Manchester Arena bomb attack at her concert which killed 22 people,20
80448,z4adanaEpPDz,2017-05-23 08:05:27+00:00,ZjdbY0,"RT janinegibson: On the ground, follow  HannahAlOthman, emilydugan and aishagani
Latest: https://t.co/tmmQ1LfHpF
… https://t.co/EywWHWIzRj",0.0,0,0,0,1,0,3957,5000,287782,-0.527448284214527,True,,unrelated,,"janinegibson On the ground, follow HannahAlOthman, emilydugan and aishagani Latest",10
29734,W0Pbm8e3MDbY,2018-05-22 08:44:12+00:00,9Z1xKQ4a6d88,Thinking of the 22 today and all those affected at the Manchester Arena attack one year ago https://t.co/8ptFqKg3d4,-0.571885032070072,0,3,0,1,1,4395,1672,5444,-0.571885032070072,True,,reliable,,Thinking of the 22 today and all those affected at the Manchester Arena attack one year ago,17
